dt_referencia,nr_ano,nr_mes,desc_nome_mes,desc_nome_mes_curto,nr_dia,desc_dia_semana,desc_dia_semana_curto,nr_dia_semana_iso,desc_ano_mes,desc_trimestre,desc_ano_trimestre,nr_semana_ano,dt_inicio_mes,dt_inicio_semana,nr_dia_semana_visual
2015-04-19,2015,4,Abril,Abr,19,Domingo,Dom,7,2015-04,T2,2015-T2,16,2015-04-01,2015-04-13,1
2015-04-20,2015,4,Abril,Abr,20,Segunda-Feira,Seg,1,2015-04,T2,2015-T2,17,2015-04-01,2015-04-20,2
2015-04-21,2015,4,Abril,Abr,21,Terça-Feira,Ter,2,2015-04,T2,2015-T2,17,2015-04-01,2015-04-20,3
2015-04-22,2015,4,Abril,Abr,22,Quarta-Feira,Qua,3,2015-04,T2,2015-T2,17,2015-04-01,2015-04-20,4
2015-04-23,2015,4,Abril,Abr,23,Quinta-Feira,Qui,4,2015-04,T2,2015-T2,17,2015-04-01,2015-04-20,5
2015-04-24,2015,4,Abril,Abr,24,Sexta-Feira,Sex,5,2015-04,T2,2015-T2,17,2015-04-01,2015-04-20,6
2015-04-25,2015,4,Abril,Abr,25,Sábado,Sab,6,2015-04,T2,2015-T2,17,2015-04-01,2015-04-20,7
2015-04-26,2015,4,Abril,Abr,26,Domingo,Dom,7,2015-04,T2,2015-T2,17,2015-04-01,2015-04-20,1
2015-04-27,2015,4,Abril,Abr,27,Segunda-Feira,Seg,1,2015-04,T2,2015-T2,18,2015-04-01,2015-04-27,2
2015-04-28,2015,4,Abril,Abr,28,Terça-Feira,Ter,2,2015-04,T2,2015-T2,18,2015-04-01,2015-04-27,3
2015-04-29,2015,4,Abril,Abr,29,Quarta-Feira,Qua,3,2015-04,T2,2015-T2,18,2015-04-01,2015-04-27,4
2015-04-30,2015,4,Abril,Abr,30,Quinta-Feira,Qui,4,2015-04,T2,2015-T2,18,2015-04-01,2015-04-27,5
2015-05-01,2015,5,Maio,Mai,1,Sexta-Feira,Sex,5,2015-05,T2,2015-T2,18,2015-05-01,2015-04-27,6
2015-05-02,2015,5,Maio,Mai,2,Sábado,Sab,6,2015-05,T2,2015-T2,18,2015-05-01,2015-04-27,7
2015-05-03,2015,5,Maio,Mai,3,Domingo,Dom,7,2015-05,T2,2015-T2,18,2015-05-01,2015-04-27,1
2015-05-04,2015,5,Maio,Mai,4,Segunda-Feira,Seg,1,2015-05,T2,2015-T2,19,2015-05-01,2015-05-04,2
2015-05-05,2015,5,Maio,Mai,5,Terça-Feira,Ter,2,2015-05,T2,2015-T2,19,2015-05-01,2015-05-04,3
2015-05-06,2015,5,Maio,Mai,6,Quarta-Feira,Qua,3,2015-05,T2,2015-T2,19,2015-05-01,2015-05-04,4
2015-05-07,2015,5,Maio,Mai,7,Quinta-Feira,Qui,4,2015-05,T2,2015-T2,19,2015-05-01,2015-05-04,5
2015-05-08,2015,5,Maio,Mai,8,Sexta-Feira,Sex,5,2015-05,T2,2015-T2,19,2015-05-01,2015-05-04,6
2015-05-09,2015,5,Maio,Mai,9,Sábado,Sab,6,2015-05,T2,2015-T2,19,2015-05-01,2015-05-04,7
2015-05-10,2015,5,Maio,Mai,10,Domingo,Dom,7,2015-05,T2,2015-T2,19,2015-05-01,2015-05-04,1
2015-05-11,2015,5,Maio,Mai,11,Segunda-Feira,Seg,1,2015-05,T2,2015-T2,20,2015-05-01,2015-05-11,2
2015-05-12,2015,5,Maio,Mai,12,Terça-Feira,Ter,2,2015-05,T2,2015-T2,20,2015-05-01,2015-05-11,3
2015-05-13,2015,5,Maio,Mai,13,Quarta-Feira,Qua,3,2015-05,T2,2015-T2,20,2015-05-01,2015-05-11,4
2015-05-14,2015,5,Maio,Mai,14,Quinta-Feira,Qui,4,2015-05,T2,2015-T2,20,2015-05-01,2015-05-11,5
2015-05-15,2015,5,Maio,Mai,15,Sexta-Feira,Sex,5,2015-05,T2,2015-T2,20,2015-05-01,2015-05-11,6
2015-05-16,2015,5,Maio,Mai,16,Sábado,Sab,6,2015-05,T2,2015-T2,20,2015-05-01,2015-05-11,7
2015-05-17,2015,5,Maio,Mai,17,Domingo,Dom,7,2015-05,T2,2015-T2,20,2015-05-01,2015-05-11,1
2015-05-18,2015,5,Maio,Mai,18,Segunda-Feira,Seg,1,2015-05,T2,2015-T2,21,2015-05-01,2015-05-18,2
2015-05-19,2015,5,Maio,Mai,19,Terça-Feira,Ter,2,2015-05,T2,2015-T2,21,2015-05-01,2015-05-18,3
2015-05-20,2015,5,Maio,Mai,20,Quarta-Feira,Qua,3,2015-05,T2,2015-T2,21,2015-05-01,2015-05-18,4
2015-05-21,2015,5,Maio,Mai,21,Quinta-Feira,Qui,4,2015-05,T2,2015-T2,21,2015-05-01,2015-05-18,5
2015-05-22,2015,5,Maio,Mai,22,Sexta-Feira,Sex,5,2015-05,T2,2015-T2,21,2015-05-01,2015-05-18,6
2015-05-23,2015,5,Maio,Mai,23,Sábado,Sab,6,2015-05,T2,2015-T2,21,2015-05-01,2015-05-18,7
2015-05-24,2015,5,Maio,Mai,24,Domingo,Dom,7,2015-05,T2,2015-T2,21,2015-05-01,2015-05-18,1
2015-05-25,2015,5,Maio,Mai,25,Segunda-Feira,Seg,1,2015-05,T2,2015-T2,22,2015-05-01,2015-05-25,2
2015-05-26,2015,5,Maio,Mai,26,Terça-Feira,Ter,2,2015-05,T2,2015-T2,22,2015-05-01,2015-05-25,3
2015-05-27,2015,5,Maio,Mai,27,Quarta-Feira,Qua,3,2015-05,T2,2015-T2,22,2015-05-01,2015-05-25,4
2015-05-28,2015,5,Maio,Mai,28,Quinta-Feira,Qui,4,2015-05,T2,2015-T2,22,2015-05-01,2015-05-25,5
2015-05-29,2015,5,Maio,Mai,29,Sexta-Feira,Sex,5,2015-05,T2,2015-T2,22,2015-05-01,2015-05-25,6
2015-05-30,2015,5,Maio,Mai,30,Sábado,Sab,6,2015-05,T2,2015-T2,22,2015-05-01,2015-05-25,7
2015-05-31,2015,5,Maio,Mai,31,Domingo,Dom,7,2015-05,T2,2015-T2,22,2015-05-01,2015-05-25,1
2015-06-01,2015,6,Junho,Jun,1,Segunda-Feira,Seg,1,2015-06,T2,2015-T2,23,2015-06-01,2015-06-01,2
2015-06-02,2015,6,Junho,Jun,2,Terça-Feira,Ter,2,2015-06,T2,2015-T2,23,2015-06-01,2015-06-01,3
2015-06-03,2015,6,Junho,Jun,3,Quarta-Feira,Qua,3,2015-06,T2,2015-T2,23,2015-06-01,2015-06-01,4
2015-06-04,2015,6,Junho,Jun,4,Quinta-Feira,Qui,4,2015-06,T2,2015-T2,23,2015-06-01,2015-06-01,5
2015-06-05,2015,6,Junho,Jun,5,Sexta-Feira,Sex,5,2015-06,T2,2015-T2,23,2015-06-01,2015-06-01,6
2015-06-06,2015,6,Junho,Jun,6,Sábado,Sab,6,2015-06,T2,2015-T2,23,2015-06-01,2015-06-01,7
2015-06-07,2015,6,Junho,Jun,7,Domingo,Dom,7,2015-06,T2,2015-T2,23,2015-06-01,2015-06-01,1
2015-06-08,2015,6,Junho,Jun,8,Segunda-Feira,Seg,1,2015-06,T2,2015-T2,24,2015-06-01,2015-06-08,2
2015-06-09,2015,6,Junho,Jun,9,Terça-Feira,Ter,2,2015-06,T2,2015-T2,24,2015-06-01,2015-06-08,3
2015-06-10,2015,6,Junho,Jun,10,Quarta-Feira,Qua,3,2015-06,T2,2015-T2,24,2015-06-01,2015-06-08,4
2015-06-11,2015,6,Junho,Jun,11,Quinta-Feira,Qui,4,2015-06,T2,2015-T2,24,2015-06-01,2015-06-08,5
2015-06-12,2015,6,Junho,Jun,12,Sexta-Feira,Sex,5,2015-06,T2,2015-T2,24,2015-06-01,2015-06-08,6
2015-06-13,2015,6,Junho,Jun,13,Sábado,Sab,6,2015-06,T2,2015-T2,24,2015-06-01,2015-06-08,7
2015-06-14,2015,6,Junho,Jun,14,Domingo,Dom,7,2015-06,T2,2015-T2,24,2015-06-01,2015-06-08,1
2015-06-15,2015,6,Junho,Jun,15,Segunda-Feira,Seg,1,2015-06,T2,2015-T2,25,2015-06-01,2015-06-15,2
2015-06-16,2015,6,Junho,Jun,16,Terça-Feira,Ter,2,2015-06,T2,2015-T2,25,2015-06-01,2015-06-15,3
2015-06-17,2015,6,Junho,Jun,17,Quarta-Feira,Qua,3,2015-06,T2,2015-T2,25,2015-06-01,2015-06-15,4
2015-06-18,2015,6,Junho,Jun,18,Quinta-Feira,Qui,4,2015-06,T2,2015-T2,25,2015-06-01,2015-06-15,5
2015-06-19,2015,6,Junho,Jun,19,Sexta-Feira,Sex,5,2015-06,T2,2015-T2,25,2015-06-01,2015-06-15,6
2015-06-20,2015,6,Junho,Jun,20,Sábado,Sab,6,2015-06,T2,2015-T2,25,2015-06-01,2015-06-15,7
2015-06-21,2015,6,Junho,Jun,21,Domingo,Dom,7,2015-06,T2,2015-T2,25,2015-06-01,2015-06-15,1
2015-06-22,2015,6,Junho,Jun,22,Segunda-Feira,Seg,1,2015-06,T2,2015-T2,26,2015-06-01,2015-06-22,2
2015-06-23,2015,6,Junho,Jun,23,Terça-Feira,Ter,2,2015-06,T2,2015-T2,26,2015-06-01,2015-06-22,3
2015-06-24,2015,6,Junho,Jun,24,Quarta-Feira,Qua,3,2015-06,T2,2015-T2,26,2015-06-01,2015-06-22,4
2015-06-25,2015,6,Junho,Jun,25,Quinta-Feira,Qui,4,2015-06,T2,2015-T2,26,2015-06-01,2015-06-22,5
2015-06-26,2015,6,Junho,Jun,26,Sexta-Feira,Sex,5,2015-06,T2,2015-T2,26,2015-06-01,2015-06-22,6
2015-06-27,2015,6,Junho,Jun,27,Sábado,Sab,6,2015-06,T2,2015-T2,26,2015-06-01,2015-06-22,7
2015-06-28,2015,6,Junho,Jun,28,Domingo,Dom,7,2015-06,T2,2015-T2,26,2015-06-01,2015-06-22,1
2015-06-29,2015,6,Junho,Jun,29,Segunda-Feira,Seg,1,2015-06,T2,2015-T2,27,2015-06-01,2015-06-29,2
2015-06-30,2015,6,Junho,Jun,30,Terça-Feira,Ter,2,2015-06,T2,2015-T2,27,2015-06-01,2015-06-29,3
2015-07-01,2015,7,Julho,Jul,1,Quarta-Feira,Qua,3,2015-07,T3,2015-T3,27,2015-07-01,2015-06-29,4
2015-07-02,2015,7,Julho,Jul,2,Quinta-Feira,Qui,4,2015-07,T3,2015-T3,27,2015-07-01,2015-06-29,5
2015-07-03,2015,7,Julho,Jul,3,Sexta-Feira,Sex,5,2015-07,T3,2015-T3,27,2015-07-01,2015-06-29,6
2015-07-04,2015,7,Julho,Jul,4,Sábado,Sab,6,2015-07,T3,2015-T3,27,2015-07-01,2015-06-29,7
2015-07-05,2015,7,Julho,Jul,5,Domingo,Dom,7,2015-07,T3,2015-T3,27,2015-07-01,2015-06-29,1
2015-07-06,2015,7,Julho,Jul,6,Segunda-Feira,Seg,1,2015-07,T3,2015-T3,28,2015-07-01,2015-07-06,2
2015-07-07,2015,7,Julho,Jul,7,Terça-Feira,Ter,2,2015-07,T3,2015-T3,28,2015-07-01,2015-07-06,3
2015-07-08,2015,7,Julho,Jul,8,Quarta-Feira,Qua,3,2015-07,T3,2015-T3,28,2015-07-01,2015-07-06,4
2015-07-09,2015,7,Julho,Jul,9,Quinta-Feira,Qui,4,2015-07,T3,2015-T3,28,2015-07-01,2015-07-06,5
2015-07-10,2015,7,Julho,Jul,10,Sexta-Feira,Sex,5,2015-07,T3,2015-T3,28,2015-07-01,2015-07-06,6
2015-07-11,2015,7,Julho,Jul,11,Sábado,Sab,6,2015-07,T3,2015-T3,28,2015-07-01,2015-07-06,7
2015-07-12,2015,7,Julho,Jul,12,Domingo,Dom,7,2015-07,T3,2015-T3,28,2015-07-01,2015-07-06,1
2015-07-13,2015,7,Julho,Jul,13,Segunda-Feira,Seg,1,2015-07,T3,2015-T3,29,2015-07-01,2015-07-13,2
